id,title,text
1051,Poem 1051,XXX.
1052,Poem 1052,THE WIND'S VISIT.
1053,"The wind tapped like a tired man,","And like a host, ""Come in,""
I boldly answered; entered then
My residence within"
1054,"A rapid, footless guest,","To offer whom a chair
Were as impossible as hand
A sofa to the air."
1055,"No bone had he to bind him,","His speech was like the push
Of numerous humming–birds at once
From a superior bush."
1056,"His countenance a billow,","His fingers, if he pass,
Let go a music, as of tunes
Blown tremulous in glass."
1057,"He visited, still flitting;","Then, like a timid man,
Again he tapped – 't was flurriedly –
And I became alone."
1058,Poem 1058,XXXI.
1059,Nature rarer uses yellow,"Than another hue;
Saves she all of that for sunsets, –
Prodigal of blue,"
1060,"Spending scarlet like a woman,","Yellow she affords
Only scantly and selectly,
Like a lover's words."
1061,Poem 1061,XXXII.
1062,Poem 1062,GOSSIP.
1063,"The leaves, like women, interchange","Sagacious confidence;
Somewhat of nods, and somewhat of
Portentous inference,"
1064,The parties in both cases,"Enjoining secrecy, –
Inviolable compact
To notoriety."
1065,Poem 1065,XXXIII.
1066,Poem 1066,SIMPLICITY.
1067,How happy is the little stone,"That rambles in the road alone,
And doesn't care about careers,
And exigencies never fears;
Whose coat of elemental brown
A passing universe put on;
And independent as the sun,
Associates or glows alone,
Fulfilling absolute decree
In casual simplicity."
1068,Poem 1068,XXXIV.
1069,Poem 1069,STORM.
1070,"It sounded as if the streets were running,","And then the streets stood still.
Eclipse was all we could see at the window,
And awe was all we could feel."
1071,"By and by the boldest stole out of his covert,","To see if time was there.
Nature was in her beryl apron,
Mixing fresher air."
1072,Poem 1072,XXXV.
1073,Poem 1073,THE RAT.
1074,The rat is the concisest tenant.,"He pays no rent, –
Repudiates the obligation,
On schemes intent."
1075,Balking our wit,"To sound or circumvent,
Hate cannot harm
A foe so reticent."
1076,Neither decree,"Prohibits him,
Lawful as
Equilibrium."
1077,Poem 1077,XXXVI.
1078,"Frequently the woods are pink,","Frequently are brown;
Frequently the hills undress
Behind my native town."
1079,Oft a head is crested,"I was wont to see,
And as oft a cranny
Where it used to be."
1080,"And the earth, they tell me,","On its axis turned, –
Wonderful rotation
By but twelve performed!"
1081,Poem 1081,XXXVII.
1082,Poem 1082,A THUNDER–STORM.
1083,The wind begun to rock the grass,"With threatening tunes and low, –
He flung a menace at the earth,
A menace at the sky."
1084,The leaves unhooked themselves from trees,"And started all abroad;
The dust did scoop itself like hands
And throw away the road."
1085,"The wagons quickened on the streets,","The thunder hurried slow;
The lightning showed a yellow beak,
And then a livid claw."
1086,"The birds put up the bars to nests,","The cattle fled to barns;
There came one drop of giant rain,
And then, as if the hands"
1087,"That held the dams had parted hold,","The waters wrecked the sky,
But overlooked my father's house,
Just quartering a tree."
1088,Poem 1088,XXXVIII.
1089,Poem 1089,WITH FLOWERS.
1090,"South winds jostle them,","Bumblebees come,
Hover, hesitate,
Drink, and are gone."
1091,Butterflies pause,"On their passage Cashmere;
I, softly plucking,
Present them here!"
1092,Poem 1092,XXXIX.
1093,Poem 1093,SUNSET.
1094,Where ships of purple gently toss,"On seas of daffodil,
Fantastic sailors mingle,
And then – the wharf is still."
1095,Poem 1095,XL.
1096,"She sweeps with many–colored brooms,","And leaves the shreds behind;
Oh, housewife in the evening west,
Come back, and dust the pond!"
1097,"You dropped a purple ravelling in,","You dropped an amber thread;
And now you 've littered all the East
With duds of emerald!"
1098,"And still she plies her spotted brooms,","And still the aprons fly,
Till brooms fade softly into stars –
And then I come away."
1099,Poem 1099,XLI.
1100,Like mighty footlights burned the red,"At bases of the trees, –
The far theatricals of day
Exhibiting to these."
1101,'T was universe that did applaud,"While, chiefest of the crowd,
Enabled by his royal dress,
Myself distinguished God."
1102,Poem 1102,XLII.
1103,Poem 1103,PROBLEMS.
1104,"Bring me the sunset in a cup,","Reckon the morning's flagons up,
And say how many dew;
Tell me how far the morning leaps,
Tell me what time the weaver sleeps
Who spun the breadths of blue!"
1105,Write me how many notes there be,"In the new robin's ecstasy
Among astonished boughs;
How many trips the tortoise makes,
How many cups the bee partakes, –
The debauchee of dews!"
1106,"Also, who laid the rainbow's piers,","Also, who leads the docile spheres
By withes of supple blue?
Whose fingers string the stalactite,
Who counts the wampum of the night,
To see that none is due?"
1107,Who built this little Alban house,"And shut the windows down so close
My spirit cannot see?
Who 'll let me out some gala day,
With implements to fly away,
Passing pomposity?"
1108,Poem 1108,XLIII.
1109,Poem 1109,THE JUGGLER OF DAY.
1110,"Blazing in gold and quenching in purple,","Leaping like leopards to the sky,
Then at the feet of the old horizon
Laying her spotted face, to die;"
1111,"Stooping as low as the otter's window,","Touching the roof and tinting the barn,
Kissing her bonnet to the meadow, –
And the juggler of day is gone!"
1112,Poem 1112,XLIV.
1113,Poem 1113,MY CRICKET.
1114,"Farther in summer than the birds,","Pathetic from the grass,
A minor nation celebrates
Its unobtrusive mass."
1115,"No ordinance is seen,","So gradual the grace,
A pensive custom it becomes,
Enlarging loneliness."
1116,Antiquest felt at noon,"When August, burning low,
Calls forth this spectral canticle,
Repose to typify."
1117,"Remit as yet no grace,","No furrow on the glow,
Yet a druidic difference
Enhances nature now."
1118,Poem 1118,XLV.
1119,As imperceptibly as grief,"The summer lapsed away, –
Too imperceptible, at last,
To seem like perfidy."
1120,"A quietness distilled,","As twilight long begun,
Or Nature, spending with herself
Sequestered afternoon."
1121,"The dusk drew earlier in,","The morning foreign shone, –
A courteous, yet harrowing grace,
As guest who would be gone."
1122,"And thus, without a wing,","Or service of a keel,
Our summer made her light escape
Into the beautiful."
1123,Poem 1123,XLVI.
1124,"It can't be summer, – that got through;","It 's early yet for spring;
There 's that long town of white to cross
Before the blackbirds sing."
1125,"It can't be dying, – it's too rouge, –","The dead shall go in white.
So sunset shuts my question down
With clasps of chrysolite."
1126,Poem 1126,XLVII.
1127,Poem 1127,SUMMER'S OBSEQUIES.
1128,"The gentian weaves her fringes,","The maple's loom is red.
My departing blossoms
Obviate parade."
1129,"A brief, but patient illness,","An hour to prepare;
And one, below this morning,
Is where the angels are."
1130,"It was a short procession, –","The bobolink was there,
An aged bee addressed us,
And then we knelt in prayer."
1131,"We trust that she was willing, –","We ask that we may be.
Summer, sister, seraph,
Let us go with thee!"
1132,In the name of the bee,"And of the butterfly
And of the breeze, amen!"
1133,Poem 1133,XLVIII.
1134,Poem 1134,FRINGED GENTIAN.
1135,God made a little gentian;,"It tried to be a rose
And failed, and all the summer laughed.
But just before the snows
There came a purple creature
That ravished all the hill;
And summer hid her forehead,
And mockery was still.
The frosts were her condition;
The Tyrian would not come
Until the North evoked it.
""Creator! shall I bloom?"""
1136,Poem 1136,XLIX.
1137,Poem 1137,NOVEMBER.
1138,"Besides the autumn poets sing,","A few prosaic days
A little this side of the snow
And that side of the haze."
1139,"A few incisive mornings,","A few ascetic eyes, –
Gone Mr. Bryant's golden–rod,
And Mr. Thomson's sheaves."
1140,"Still is the bustle in the brook,","Sealed are the spicy valves;
Mesmeric fingers softly touch
The eyes of many elves."
1141,"Perhaps a squirrel may remain,","My sentiments to share.
Grant me, O Lord, a sunny mind,
Thy windy will to bear!"
1142,Poem 1142,L.
1143,Poem 1143,THE SNOW.
1144,"It sifts from leaden sieves,","It powders all the wood,
It fills with alabaster wool
The wrinkles of the road."
1145,It makes an even face,"Of mountain and of plain, –
Unbroken forehead from the east
Unto the east again."
1146,"It reaches to the fence,","It wraps it, rail by rail,
Till it is lost in fleeces;
It flings a crystal veil"
1147,"On stump and stack and stem, –","The summer's empty room,
Acres of seams where harvests were,
Recordless, but for them."
1148,"It ruffles wrists of posts,","As ankles of a queen, –
Then stills its artisans like ghosts,
Denying they have been."
1149,Poem 1149,LI.
1150,Poem 1150,THE BLUE JAY.
1151,No brigadier throughout the year,"So civic as the jay.
A neighbor and a warrior too,
With shrill felicity"
1152,Pursuing winds that censure us,"A February day,
The brother of the universe
Was never blown away."
1153,The snow and he are intimate;,"I 've often seen them play
When heaven looked upon us all
With such severity,"
1154,I felt apology were due,"To an insulted sky,
Whose pompous frown was nutriment
To their temerity."
1155,The pillow of this daring head,"Is pungent evergreens;
His larder – terse and militant –
Unknown, refreshing things;"
1156,"His character a tonic,","His future a dispute;
Unfair an immortality
That leaves this neighbor out."
1157,Poem 1157,IV. TIME AND ETERNITY.
1158,Poem 1158,I.
1159,"Let down the bars, O Death!","The tired flocks come in
Whose bleating ceases to repeat,
Whose wandering is done."
1160,"Thine is the stillest night,","Thine the securest fold;
Too near thou art for seeking thee,
Too tender to be told."
1161,Poem 1161,II.
1162,Going to heaven!,"I don't know when,
Pray do not ask me how, –
Indeed, I 'm too astonished
To think of answering you!
Going to heaven! –
How dim it sounds!
And yet it will be done
As sure as flocks go home at night
Unto the shepherd's arm!"
1163,Perhaps you 're going too!,"Who knows?
If you should get there first,
Save just a little place for me
Close to the two I lost!"
1164,"The smallest ""robe"" will fit me,","And just a bit of ""crown;""
For you know we do not mind our dress
When we are going home."
1165,"I 'm glad I don't believe it,","For it would stop my breath,
And I 'd like to look a little more
At such a curious earth!
I am glad they did believe it
Whom I have never found
Since the mighty autumn afternoon
I left them in the ground."
1166,Poem 1166,III.
1167,"At least to pray is left, is left.","O Jesus! in the air
I know not which thy chamber is, –
I 'm knocking everywhere."
1168,"Thou stirrest earthquake in the South,","And maelstrom in the sea;
Say, Jesus Christ of Nazareth,
Hast thou no arm for me?"
1169,Poem 1169,IV.
1170,Poem 1170,EPITAPH.
1171,Step lightly on this narrow spot!,"The broadest land that grows
Is not so ample as the breast
These emerald seams enclose."
1172,Step lofty; for this name is told,"As far as cannon dwell,
Or flag subsist, or fame export
Her deathless syllable."
1173,Poem 1173,V.
1174,Morns like these we parted;,"Noons like these she rose,
Fluttering first, then firmer,
To her fair repose."
1175,"Never did she lisp it,","And 't was not for me;
She was mute from transport,
I, from agony!"
1176,"Till the evening, nearing,","One the shutters drew –
Quick! a sharper rustling!
And this linnet flew!"
1177,Poem 1177,VI.
1178,A death–blow is a life–blow to some,"Who, till they died, did not alive become;
Who, had they lived, had died, but when
They died, vitality begun."
1179,Poem 1179,VII.
1180,"I read my sentence steadily,","Reviewed it with my eyes,
To see that I made no mistake
In its extremest clause, –"
1181,"The date, and manner of the shame;","And then the pious form
That ""God have mercy"" on the soul
The jury voted him."
1182,I made my soul familiar,"With her extremity,
That at the last it should not be
A novel agony,"
1183,"But she and Death, acquainted,","Meet tranquilly as friends,
Salute and pass without a hint –
And there the matter ends."
1184,Poem 1184,VIII.
1185,"I have not told my garden yet,","Lest that should conquer me;
I have not quite the strength now
To break it to the bee."
1186,"I will not name it in the street,","For shops would stare, that I,
So shy, so very ignorant,
Should have the face to die."
1187,"The hillsides must not know it,","Where I have rambled so,
Nor tell the loving forests
The day that I shall go,"
1188,"Nor lisp it at the table,","Nor heedless by the way
Hint that within the riddle
One will walk to–day!"
1189,Poem 1189,IX.
1190,Poem 1190,THE BATTLE–FIELD.
1191,"They dropped like flakes, they dropped like stars,","Like petals from a rose,
When suddenly across the June
A wind with fingers goes."
1192,"They perished in the seamless grass, –","No eye could find the place;
But God on his repealless list
Can summon every face."
1193,Poem 1193,X.
1194,The only ghost I ever saw,"Was dressed in mechlin, – so;
He wore no sandal on his foot,
And stepped like flakes of snow.
His gait was soundless, like the bird,
But rapid, like the roe;
His fashions quaint, mosaic,
Or, haply, mistletoe."
1195,"His conversation seldom,","His laughter like the breeze
That dies away in dimples
Among the pensive trees.
Our interview was transient,–
Of me, himself was shy;
And God forbid I look behind
Since that appalling day!"
1196,Poem 1196,XI.
1197,"Some, too fragile for winter winds,","The thoughtful grave encloses, –
Tenderly tucking them in from frost
Before their feet are cold."
1198,Never the treasures in her nest,"The cautious grave exposes,
Building where schoolboy dare not look
And sportsman is not bold."
1199,This covert have all the children,"Early aged, and often cold, –
Sparrows unnoticed by the Father;
Lambs for whom time had not a fold."
1200,Poem 1200,XII.
1201,"As by the dead we love to sit,","Become so wondrous dear,
As for the lost we grapple,
Though all the rest are here, –"
1202,In broken mathematics,"We estimate our prize,
Vast, in its fading ratio,
To our penurious eyes!"
1203,Poem 1203,XIII.
1204,Poem 1204,MEMORIALS.
1205,Death sets a thing significant,"The eye had hurried by,
Except a perished creature
Entreat us tenderly"
1206,To ponder little workmanships,"In crayon or in wool,
With ""This was last her fingers did,""
Industrious until"
1207,"The thimble weighed too heavy,","The stitches stopped themselves,
And then 't was put among the dust
Upon the closet shelves."
1208,"A book I have, a friend gave,","Whose pencil, here and there,
Had notched the place that pleased him, –
At rest his fingers are."
1209,"Now, when I read, I read not,","For interrupting tears
Obliterate the etchings
Too costly for repairs."
1210,Poem 1210,XIV.
1211,"I went to heaven, –","'T was a small town,
Lit with a ruby,
Lathed with down.
Stiller than the fields
At the full dew,
Beautiful as pictures
No man drew.
People like the moth,
Of mechlin, frames,
Duties of gossamer,
And eider names.
Almost contented
I could be
'Mong such unique
Society."
1212,Poem 1212,XV.
1213,"Their height in heaven comforts not,","Their glory nought to me;
'T was best imperfect, as it was;
I 'm finite, I can't see."
1214,"The house of supposition,","The glimmering frontier
That skirts the acres of perhaps,
To me shows insecure."
1215,The wealth I had contented me;,"If 't was a meaner size,
Then I had counted it until
It pleased my narrow eyes"
1216,"Better than larger values,","However true their show;
This timid life of evidence
Keeps pleading, ""I don't know."""
1217,Poem 1217,XVI.
1218,There is a shame of nobleness,"Confronting sudden pelf, –
A finer shame of ecstasy
Convicted of itself."
1219,"A best disgrace a brave man feels,","Acknowledged of the brave, –
One more ""Ye Blessed"" to be told;
But this involves the grave."
1220,Poem 1220,XVII.
1221,Poem 1221,TRIUMPH.
1222,Triumph may be of several kinds.,"There 's triumph in the room
When that old imperator, Death,
By faith is overcome."
1223,There 's triumph of the finer mind,"When truth, affronted long,
Advances calm to her supreme,
Her God her only throng."
1224,A triumph when temptation's bribe,"Is slowly handed back,
One eye upon the heaven renounced
And one upon the rack."
1225,"Severer triumph, by himself","Experienced, who can pass
Acquitted from that naked bar,
Jehovah's countenance!"
1226,Poem 1226,XVIII.
1227,Pompless no life can pass away;,"The lowliest career
To the same pageant wends its way
As that exalted here.
How cordial is the mystery!
The hospitable pall
A ""this way"" beckons spaciously, –
A miracle for all!"
1228,Poem 1228,XIX.
1229,"I noticed people disappeared,","When but a little child, –
Supposed they visited remote,
Or settled regions wild."
1230,Now know I they both visited,"And settled regions wild,
But did because they died, – a fact
Withheld the little child!"
1231,Poem 1231,XX.
1232,Poem 1232,FOLLOWING.
1233,"I had no cause to be awake,","My best was gone to sleep,
And morn a new politeness took,
And failed to wake them up,"
1234,"But called the others clear,","And passed their curtains by.
Sweet morning, when I over–sleep,
Knock, recollect, for me!"
1235,"I looked at sunrise once,","And then I looked at them,
And wishfulness in me arose
For circumstance the same."
1236,"'T was such an ample peace,","It could not hold a sigh, –
'T was Sabbath with the bells divorced,
'T was sunset all the day."
1237,So choosing but a gown,"And taking but a prayer,
The only raiment I should need,
I struggled, and was there."
1238,Poem 1238,XXI.
1239,"If anybody's friend be dead,","It 's sharpest of the theme
The thinking how they walked alive,
At such and such a time."
1240,"Their costume, of a Sunday,","Some manner of the hair, –
A prank nobody knew but them,
Lost, in the sepulchre."
1241,How warm they were on such a day:,"You almost feel the date,
So short way off it seems; and now,
They 're centuries from that."
1242,How pleased they were at what you said;,"You try to touch the smile,
And dip your fingers in the frost:
When was it, can you tell,"
1243,"You asked the company to tea,","Acquaintance, just a few,
And chatted close with this grand thing
That don't remember you?"
1244,"Past bows and invitations,","Past interview, and vow,
Past what ourselves can estimate, –
That makes the quick of woe!"
1245,Poem 1245,XXII.
1246,Poem 1246,THE JOURNEY.
1247,Our journey had advanced;,"Our feet were almost come
To that odd fork in Being's road,
Eternity by term."
1248,"Our pace took sudden awe,","Our feet reluctant led.
Before were cities, but between,
The forest of the dead."
1249,"Retreat was out of hope, –","Behind, a sealed route,
Eternity's white flag before,
And God at every gate."
1250,Poem 1250,XXIII.
1251,Poem 1251,A COUNTRY BURIAL.
1252,Ample make this bed.,"Make this bed with awe;
In it wait till judgment break
Excellent and fair."
1253,"Be its mattress straight,","Be its pillow round;
Let no sunrise' yellow noise
Interrupt this ground."
1254,Poem 1254,XXIV.
1255,Poem 1255,GOING.
1256,"On such a night, or such a night,","Would anybody care
If such a little figure
Slipped quiet from its chair,"
1257,"So quiet, oh, how quiet!","That nobody might know
But that the little figure
Rocked softer, to and fro?"
1258,"On such a dawn, or such a dawn,","Would anybody sigh
That such a little figure
Too sound asleep did lie"
1259,"For chanticleer to wake it, –","Or stirring house below,
Or giddy bird in orchard,
Or early task to do?"
1260,There was a little figure plump,"For every little knoll,
Busy needles, and spools of thread,
And trudging feet from school."
1261,"Playmates, and holidays, and nuts,","And visions vast and small.
Strange that the feet so precious charged
Should reach so small a goal!"
1262,Poem 1262,XXV.
1263,Essential oils are wrung:,"The attar from the rose
Is not expressed by suns alone,
It is the gift of screws."
1264,The general rose decays;,"But this, in lady's drawer,
Makes summer when the lady lies
In ceaseless rosemary."
1265,Poem 1265,XXVI.
1266,I lived on dread; to those who know,"The stimulus there is
In danger, other impetus
Is numb and vital–less."
1267,"As 't were a spur upon the soul,","A fear will urge it where
To go without the spectre's aid
Were challenging despair."
1268,Poem 1268,XXVII.
1269,"If I should die,","And you should live,
And time should gurgle on,
And morn should beam,
And noon should burn,
As it has usual done;
If birds should build as early,
And bees as bustling go, –
One might depart at option
From enterprise below!
'T is sweet to know that stocks will stand
When we with daisies lie,
That commerce will continue,
And trades as briskly fly.
It makes the parting tranquil
And keeps the soul serene,
That gentlemen so sprightly
Conduct the pleasing scene!"
1270,Poem 1270,XXVIII.
1271,Poem 1271,AT LENGTH.
1272,"Her final summer was it,","And yet we guessed it not;
If tenderer industriousness
Pervaded her, we thought"
1273,A further force of life,"Developed from within, –
When Death lit all the shortness up,
And made the hurry plain."
1274,"We wondered at our blindness, –","When nothing was to see
But her Carrara guide–post, –
At our stupidity,"
1275,"When, duller than our dullness,","The busy darling lay,
So busy was she, finishing,
So leisurely were we!"
1276,Poem 1276,XXIX.
1277,Poem 1277,GHOSTS.
1278,"One need not be a chamber to be haunted,","One need not be a house;
The brain has corridors surpassing
Material place."
1279,"Far safer, of a midnight meeting","External ghost,
Than an interior confronting
That whiter host."
1280,"Far safer through an Abbey gallop,","The stones achase,
Than, moonless, one's own self encounter
In lonesome place."
1281,"Ourself, behind ourself concealed,","Should startle most;
Assassin, hid in our apartment,
Be horror's least."
1282,"The prudent carries a revolver,","He bolts the door,
O'erlooking a superior spectre
More near."
1283,Poem 1283,XXX.
1284,Poem 1284,VANISHED.
1285,"She died, – this was the way she died;","And when her breath was done,
Took up her simple wardrobe
And started for the sun."
1286,Her little figure at the gate,"The angels must have spied,
Since I could never find her
Upon the mortal side."
1287,Poem 1287,XXXI.
1288,Poem 1288,PRECEDENCE.
1289,Wait till the majesty of Death,"Invests so mean a brow!
Almost a powdered footman
Might dare to touch it now!"
1290,Wait till in everlasting robes,"This democrat is dressed,
Then prate about ""preferment""
And ""station"" and the rest!"
1291,Around this quiet courtier,"Obsequious angels wait!
Full royal is his retinue,
Full purple is his state!"
1292,A lord might dare to lift the hat,"To such a modest clay,
Since that my Lord, ""the Lord of lords""
Receives unblushingly!"
1293,Poem 1293,XXXII.
1294,Poem 1294,GONE.
1295,Went up a year this evening!,"I recollect it well!
Amid no bells nor bravos
The bystanders will tell!
Cheerful, as to the village,
Tranquil, as to repose,
Chastened, as to the chapel,
This humble tourist rose.
Did not talk of returning,
Alluded to no time
When, were the gales propitious,
We might look for him;
Was grateful for the roses
In life's diverse bouquet,
Talked softly of new species
To pick another day."
1296,"Beguiling thus the wonder,","The wondrous nearer drew;
Hands bustled at the moorings –
The crowd respectful grew.
Ascended from our vision
To countenances new!
A difference, a daisy,
Is all the rest I knew!"
1297,Poem 1297,XXXIII.
1298,Poem 1298,REQUIEM.
1299,"Taken from men this morning,","Carried by men to–day,
Met by the gods with banners
Who marshalled her away."
1300,"One little maid from playmates,","One little mind from school, –
There must be guests in Eden;
All the rooms are full."
1301,"Far as the east from even,","Dim as the border star, –
Courtiers quaint, in kingdoms,
Our departed are."
1302,Poem 1302,XXXIV.
1303,What inn is this,"Where for the night
Peculiar traveller comes?
Who is the landlord?
Where the maids?
Behold, what curious rooms!
No ruddy fires on the hearth,
No brimming tankards flow.
Necromancer, landlord,
Who are these below?"
1304,Poem 1304,XXXV.
1305,"It was not death, for I stood up,","And all the dead lie down;
It was not night, for all the bells
Put out their tongues, for noon."
1306,"It was not frost, for on my flesh","I felt siroccos crawl, –
Nor fire, for just my marble feet
Could keep a chancel cool."
1307,And yet it tasted like them all;,"The figures I have seen
Set orderly, for burial,
Reminded me of mine,"
1308,As if my life were shaven,"And fitted to a frame,
And could not breathe without a key;
And 't was like midnight, some,"
1309,"When everything that ticked has stopped,","And space stares, all around,
Or grisly frosts, first autumn morns,
Repeal the beating ground."
1310,"But most like chaos, – stopless, cool, –","Without a chance or spar,
Or even a report of land
To justify despair."
1311,Poem 1311,XXXVI.
1312,Poem 1312,TILL THE END.
1313,"I should not dare to leave my friend,","Because – because if he should die
While I was gone, and I – too late –
Should reach the heart that wanted me;"
1314,If I should disappoint the eyes,"That hunted, hunted so, to see,
And could not bear to shut until
They ""noticed"" me – they noticed me;"
1315,If I should stab the patient faith,"So sure I 'd come – so sure I 'd come,
It listening, listening, went to sleep
Telling my tardy name, –"
1316,"My heart would wish it broke before,","Since breaking then, since breaking then,
Were useless as next morning's sun,
Where midnight frosts had lain!"
1317,Poem 1317,XXXVII.
1318,Poem 1318,VOID.
1319,Great streets of silence led away,"To neighborhoods of pause;
Here was no notice, no dissent,
No universe, no laws."
1320,"By clocks 't was morning, and for night","The bells at distance called;
But epoch had no basis here,
For period exhaled."
1321,Poem 1321,XXXVIII.
1322,A throe upon the features,"A hurry in the breath,
An ecstasy of parting
Denominated ""Death,"" –"
1323,"An anguish at the mention,","Which, when to patience grown,
I 've known permission given
To rejoin its own."
1324,Poem 1324,XXXIX.
1325,Poem 1325,SAVED!
1326,Of tribulation these are they,"Denoted by the white;
The spangled gowns, a lesser rank
Of victors designate."
1327,All these did conquer; but the ones,"Who overcame most times
Wear nothing commoner than snow,
No ornament but palms."
1328,Surrender is a sort unknown,"On this superior soil;
Defeat, an outgrown anguish,
Remembered as the mile"
1329,Our panting ankle barely gained,"When night devoured the road;
But we stood whispering in the house,
And all we said was ""Saved""!"
1330,Poem 1330,XL.
1331,I think just how my shape will rise,"When I shall be forgiven,
Till hair and eyes and timid head
Are out of sight, in heaven."
1332,I think just how my lips will weigh,"With shapeless, quivering prayer
That you, so late, consider me,
The sparrow of your care."
1333,"I mind me that of anguish sent,","Some drifts were moved away
Before my simple bosom broke, –
And why not this, if they?"
1334,"And so, until delirious borne","I con that thing, – ""forgiven,"" –
Till with long fright and longer trust
I drop my heart, unshriven!"
1335,Poem 1335,XLI.
1336,Poem 1336,THE FORGOTTEN GRAVE.
1337,After a hundred years,"Nobody knows the place, –
Agony, that enacted there,
Motionless as peace."
1338,"Weeds triumphant ranged,","Strangers strolled and spelled
At the lone orthography
Of the elder dead."
1339,Winds of summer fields,"Recollect the way, –
Instinct picking up the key
Dropped by memory."
1340,Poem 1340,XLII.
1341,Lay this laurel on the one,"Too intrinsic for renown.
Laurel! veil your deathless tree, –
Him you chasten, that is he!"
1342,POEMS,"by EMILY DICKINSON
Third Series"
1343,Poem 1343,Edited by
1344,Poem 1344,MABEL LOOMIS TODD
1345,"It's all I have to bring to–day,","This, and my heart beside,
This, and my heart, and all the fields,
And all the meadows wide.
Be sure you count, should I forget, –
Some one the sum could tell, –
This, and my heart, and all the bees
Which in the clover dwell."
1346,Poem 1346,PREFACE.
1347,Poem 1347,"The intellectual activity of Emily Dickinson was so great that a large and characteristic choice is still possible among her literary material, and this third volume of her verses is put forth in response to the repeated wish of the admirers of her peculiar genius. Much of Emily Dickinson's prose was rhythmic, –even rhymed, though frequently not set apart in lines."
1348,Poem 1348,"Also many verses, written as such, were sent to friends in letters; these were published in 1894, in the volumes of her Letters. It has not been necessary, however, to include them in this Series, and all have been omitted, except three or four exceptionally strong ones, as ""A Book,"" and ""With Flowers."""
1349,Poem 1349,"There is internal evidence that many of the poems were simply spontaneous flashes of insight, apparently unrelated to outward circumstance. Others, however, had an obvious personal origin; for example, the verses ""I had a Guinea golden,"" which seem to have been sent to some friend travelling in Europe, as a dainty reminder of letter–writing delinquencies. The surroundings in which any of Emily Dickinson's verses are known to have been written usually serve to explain them clearly; but in general the present volume is full of thoughts needing no interpretation to those who apprehend this scintillating spirit."
1350,Poem 1350,M. L. T.
1351,Poem 1351,"AMHERST, October, 1896."
1352,Poem 1352,I. LIFE.
1353,Poem 1353,I.
1354,Poem 1354,REAL RICHES.
1355,'T is little I could care for pearls,"Who own the ample sea;
Or brooches, when the Emperor
With rubies pelteth me;"
1356,"Or gold, who am the Prince of Mines;","Or diamonds, when I see
A diadem to fit a dome
Continual crowning me."
1357,Poem 1357,II.
1358,Poem 1358,SUPERIORITY TO FATE.
1359,Superiority to fate,"Is difficult to learn.
'T is not conferred by any,
But possible to earn"
1360,"A pittance at a time,","Until, to her surprise,
The soul with strict economy
Subsists till Paradise."
1361,Poem 1361,III.
1362,Poem 1362,HOPE.
1363,Hope is a subtle glutton;,"He feeds upon the fair;
And yet, inspected closely,
What abstinence is there!"
1364,His is the halcyon table,"That never seats but one,
And whatsoever is consumed
The same amounts remain."
1365,Poem 1365,IV.
1366,Poem 1366,FORBIDDEN FRUIT.
1367,Poem 1367,I.
1368,Forbidden fruit a flavor has,"That lawful orchards mocks;
How luscious lies the pea within
The pod that Duty locks!"
1369,Poem 1369,V.
1370,Poem 1370,FORBIDDEN FRUIT.
1371,Poem 1371,II.
1372,Heaven is what I cannot reach!,"The apple on the tree,
Provided it do hopeless hang,
That 'heaven' is, to me."
1373,"The color on the cruising cloud,","The interdicted ground
Behind the hill, the house behind, –
There Paradise is found!"
1374,Poem 1374,VI.
1375,Poem 1375,A WORD.
1376,A word is dead,"When it is said,
Some say.
I say it just
Begins to live
That day."
1377,Poem 1377,VII.
1378,To venerate the simple days,"Which lead the seasons by,
Needs but to remember
That from you or me
They may take the trifle
Termed mortality!"
1379,"To invest existence with a stately air,","Needs but to remember
That the acorn there
Is the egg of forests
For the upper air!"
1380,Poem 1380,VIII.
1381,Poem 1381,LIFE'S TRADES.
1382,"It's such a little thing to weep,","So short a thing to sigh;
And yet by trades the size of these
We men and women die!"
1383,Poem 1383,IX.
1384,Drowning is not so pitiful,"As the attempt to rise.
Three times, 't is said, a sinking man
Comes up to face the skies,
And then declines forever
To that abhorred abode
Where hope and he part company, –
For he is grasped of God.
The Maker's cordial visage,
However good to see,
Is shunned, we must admit it,
Like an adversity."
1385,Poem 1385,X.
1386,"How still the bells in steeples stand,","Till, swollen with the sky,
They leap upon their silver feet
In frantic melody!"
1387,Poem 1387,XI.
1388,"If the foolish call them 'flowers,'","Need the wiser tell?
If the savans 'classify' them,
It is just as well!"
1389,Those who read the Revelations,"Must not criticise
Those who read the same edition
With beclouded eyes!"
1390,Could we stand with that old Moses,"Canaan denied, –
Scan, like him, the stately landscape
On the other side, –"
1391,Doubtless we should deem superfluous,"Many sciences
Not pursued by learnèd angels
In scholastic skies!"
1392,Low amid that glad Belles lettres,"Grant that we may stand,
Stars, amid profound Galaxies,
At that grand 'Right hand'!"
1393,Poem 1393,XII.
1394,Poem 1394,A SYLLABLE.
1395,Could mortal lip divine,"The undeveloped freight
Of a delivered syllable,
'T would crumble with the weight."
1396,Poem 1396,XIII.
1397,Poem 1397,PARTING.
1398,My life closed twice before its close;,"It yet remains to see
If Immortality unveil
A third event to me,"
1399,"So huge, so hopeless to conceive,","As these that twice befell.
Parting is all we know of heaven,
And all we need of hell."
1400,Poem 1400,XIV.
